排名,中文片名,英文片名,院數,映期,上映日期,平均票房,累積票房,年度
1,美國隊長3 : 英雄內戰,Captain America 3,24,86,2016/04/27,7652852.0,183668450.0,2016
2,惡棍英雄：死侍,Deadpool,23,80,2016/02/09,6200975.0,142622425.0,2016
3,屍速列車,Train to Busan,22,78,2016/09/02,6047077.0,133035683.0,2016
4,怪獸與牠們的產地,Fantastic Beasts and Where to Find Them,24,113,2016/11/17,4942212.0,118613078.0,2016
5,奇異博士,Doctor Strange,23,108,2016/10/25,5049736.0,116143931.0,2016
6,動物方城市,Zootopia,21,148,2016/02/26,5431768.0,114067119.0,2016
7,自殺突擊隊,Suicide Squad,24,91,2016/08/04,4479630.0,107511128.0,2016
8,你的名字,Your Name.,21,143,2016/10/14,4294335.0,90181036.0,2016
9,蝙蝠俠對超人：正義曙光,Batman v Superman: Dawn of Justice,24,77,2016/03/25,3692209.0,88613014.0,2016
10,出神入化2,Now You See Me: The Second Act,20,85,2016/06/08,4348622.0,86972449.0,2016
11,Ｘ戰警：天啟,X-Men: Apocalypse,24,73,2016/05/17,3584704.0,86032899.0,2016
12,比利林恩的中場戰事,Billy Lynn's Long Halftime Walk,23,96,2016/11/11,3394515.0,78073842.0,2016
13,樂來越愛你,La La Land,22,142,2016/12/09,3338913.0,73456091.0,2016
14,ID4星際重生,Independence Day: Resurgence,25,65,2016/06/22,2902667.0,72566665.0,2016
15,寵物當家,The Secret Life of Pets,24,82,2016/06/29,2608863.0,62612720.0,2016
16,神鬼認證：傑森包恩,Jason Bourne,25,64,2016/07/28,2331507.0,58287685.0,2016
17,海底總動員2：多莉去哪兒,Finding Dory,24,109,2016/07/01,2424563.0,58189510.0,2016
18,神鬼獵人,The Revenant,22,125,2016/01/08,2612276.0,57470080.0,2016
19,寒戰2,Cold War 2,22,77,2016/07/08,2508252.0,55181534.0,2016
20,厲陰宅2,The Conjuring 2: The Enfield Poltergeist,21,77,2016/06/08,2564865.0,53862158.0,2016
21,魔獸：崛起,Warcraft,24,65,2016/06/08,2229782.0,53514769.0,2016
22,我就要你好好的,Me Before You,24,90,2016/06/17,2199250.0,52782006.0,2016
23,會計師,The Accountant,24,110,2016/10/14,2152652.0,51663640.0,2016
24,全面攻佔2：倫敦救援,London Has Fallen,21,83,2016/03/04,2306975.0,48446484.0,2016
25,鋼鐵英雄,Hacksaw Ridge,23,137,2016/11/25,1973087.0,45381011.0,2016
26,單身啪啪啪,How to Be Single,17,73,2016/02/08,2645199.0,44968383.0,2016
27,怪奇孤兒院,Miss Peregrine's Home for Peculiar Children,25,79,2016/09/27,1795242.0,44881044.0,2016
28,薩利機長：哈德遜奇蹟,Sully,25,80,2016/09/08,1726373.0,43159315.0,2016
29,樓下的房客,The Tenants Downstairs,21,92,2016/08/05,2014663.0,42307922.0,2016
30,神隱任務：永不回頭,Jack Reacher: Never Go Back,24,69,2016/10/21,1754552.0,42109247.0,2016
31,長城,The Great Wall,25,64,2016/12/29,1678273.0,41956829.0,2016
32,大尾鱸鰻2,David Loman 2,22,36,2016/02/05,1715968.0,37751287.0,2016
33,地獄,Inferno,20,78,2016/10/12,1846623.0,36932463.0,2016
34,星際大戰外傳：俠盜一號,Rogue One: A Star Wars Story,24,64,2016/12/14,1534260.0,36822231.0,2016
35,刺客教條,Assassin’s Creed,23,64,2016/12/28,1462545.0,33638531.0,2016
36,丹麥女孩,The Danish Girl,21,70,2016/02/12,1579029.0,33159616.0,2016
37,與森林共舞,The Jungle Book,23,92,2016/04/15,1427345.0,32828935.0,2016
38,星際過客,Passengers,24,69,2016/12/21,1265785.0,30378838.0,2016
39,星際爭霸戰：浩瀚無垠,Star Trek Beyond,23,57,2016/07/21,1243893.0,28609543.0,2016
40,泰山傳奇,The Legend of Tarzan,22,59,2016/06/29,1294241.0,28473307.0,2016
41,極速秒殺2,Mechanic: Resurrection,23,64,2016/08/25,1237470.0,28461816.0,2016
42,分歧者3：赤誠者,The Divergent Series: Allegiant,18,70,2016/03/18,1508462.0,27152307.0,2016
43,狩獵者：凜冬之戰,The Huntsman Winter's War,24,56,2016/04/08,1097737.0,26345685.0,2016
44,歡樂好聲音,Sing,23,85,2016/12/09,1065744.0,24512120.0,2016
45,新世紀福爾摩斯－地獄新娘,Sherlock The Abominable Bride,15,40,2016/01/07,1627016.0,24405239.0,2016
46,荷魯斯之眼：王者爭霸,Gods of Egypt,18,68,2016/02/26,1323753.0,23827561.0,2016
47,忍者龜：破影而出,Teenage Mutant Ninja Turtles: Out of the Shadows,25,55,2016/06/03,950063.0,23751585.0,2016
48,名偵探柯南：純黑的惡夢,Conan the Movie vol. 20 - The Darkest Nightmare,17,62,2016/07/29,1332409.0,22650956.0,2016
49,魔鏡夢遊：時光怪客,Alice Through the Looking Glass,22,61,2016/05/27,957610.0,21067420.0,2016
50,功夫熊貓3,Kung Fu Panda 3,22,71,2016/03/25,930219.0,20464813.0,2016
51,六弄咖啡館,At Cafe 6,22,82,2016/07/08,923766.0,20322849.0,2016
52,擺渡人,See You Tomorrow,21,95,2016/12/23,925603.0,19437667.0,2016
53,恐龍當家,The Good Dinosaur,20,56,2016/02/05,955988.0,19119764.0,2016
54,最美的安排,Collateral Beauty,26,74,2016/12/15,727758.0,18921713.0,2016
55,阿公歐買尬,Dirty Grandpa,17,42,2016/01/22,1101340.0,18722782.0,2016
56,冰原歷險記：笑星撞地球,Ice Age: Collision Course,23,63,2016/07/22,803299.0,18475875.0,2016
57,飛躍奇蹟,Eddie the Eagle,21,81,2016/04/01,865651.0,18178669.0,2016
58,13小時：班加西的秘密士兵,13 Hours: The Secret Soldiers of Benghazi,22,56,2016/01/29,817774.0,17991030.0,2016
59,魔鬼剋星,Ghostbusters,23,63,2016/07/14,774455.0,17812476.0,2016
60,走音天后,Florence Foster Jenkins,21,87,2016/05/20,836614.0,17568891.0,2016
