comments,star,movie_cht,movie_eng
難看.機場戰鬥變兒戲.鋼鐵人跟美國隊長戰鬥更是沒壯觀場面.普通拳打腳踢.特效動作場面都普普通通.,1,美國隊長3：英雄內戰,      Captain America: Civil War
"中間看到睡著,梗沒什麼變化,打來打去而已...",3,美國隊長3：英雄內戰,      Captain America: Civil War
漫威這次終於拍出富有劇情內涵&精彩動作的電影了真的是今年目前最好看的超級英雄電影!!!如果只想看無腦爽片~就去看弱化戰警：天啟吧這部片不適合你(妳),5,美國隊長3：英雄內戰,      Captain America: Civil War
只覺得黑寡婦在這部戲裡打得好辛苦啊....演黑寡婦真的越來越不容易了!其他的不方便爆雷囉。但是黑豹的戲份令人刮目相看 ! 尤其在最後，其他就不方便爆雷囉 !,5,美國隊長3：英雄內戰,      Captain America: Civil War
抱著一桶爆米花喝著可樂！享受接下來的時間。不過水不要喝太多！因為毫無冷場的情節你是不會想錯過的！至於彩蛋.....  電影中埋了很多未來的伏筆。要看仔細！但這部就是在講美國隊長，所以分析劇情時不用想到其它部電影情節！總之！好好享受吧！小心別血尿！,5,美國隊長3：英雄內戰,      Captain America: Civil War
實在好看，但覺得拍的越來越象X戰警,4,美國隊長3：英雄內戰,      Captain America: Civil War
漫威史上最有深度的電影,5,美國隊長3：英雄內戰,      Captain America: Civil War
覺得很好看，可是我不能看,5,美國隊長3：英雄內戰,      Captain America: Civil War
好看,5,美國隊長3：英雄內戰,      Captain America: Civil War
動作場面超棒 原本站鋼鐵人那 看完換邊站了 是一部很好看的爽片,5,美國隊長3：英雄內戰,      Captain America: Civil War
很無言!打得很無腦！　打不出結果！最後又不了了之，　中間看到一半打哈欠，又很想了解清楚劇情，很專注的繼續看！　但真的......,1,美國隊長3：英雄內戰,      Captain America: Civil War
真的不得不說真的很爽片打鬥方面很精彩  內容也很棒  人物的感情細節也交代的也有無冷場,5,美國隊長3：英雄內戰,      Captain America: Civil War
故事前提，這世界上有一群拳頭很大的人群，因為有錢有超能力有超人類，全世界各國政府都無法約束，他們立意是善良的，想保護世界人們，但是再有一次事件中，這群人為了世界和平建造更強的機器人，但是這機器人不受控制，這群人與機器人發生戰爭，傷害了死了很多人，事實上這些死的傷的是無辜的，也沒任何政府法律約束，誰要我拳頭大，現在有個人家裡因為機器人事件，家裡都死光了，故事說他是壞人，但是只想報仇因為今天世界無法給她討公道，只好偏激的製造這群人的對立，雖然過程中死了一堆平民，而拳頭大的人今天我拳頭大就可以任何事都不用經過法律途徑，包誇被人誣陷，今天在台灣你被誣陷請走法律途徑，很簡單證據充足收押禁見，證據不足交保候傳，而不是我沒罪找人打警察打軍人繞跑就沒事，有部份拳頭大的人認為這樣也不對，就和這些人自以為正義的人實際上雙重標準的人對打起來，故事大概如此，請問壞人想報仇對不對？當法律無法給你公道時候你該如何？好人也可能是壞人的，我爸媽被殺了只因為你朋友被控制就不用背負任何罪名？把人家打一頓再跟對方說對不起，就可交待？冰棒隊長神邏輯不用跟任何人交待只知道自己朋友是人，其他就算了？打了人就跑？想想壞人不一定完全壞，好人真的好嗎？尤其那些自以為正義舉著正義大旗就可以做任何事？,3,美國隊長3：英雄內戰,      Captain America: Civil War
good to see .,4,美國隊長3：英雄內戰,      Captain America: Civil War
漫威系列特別滿意的一部~(部分提到有捏到的話 怕看到者可跳過..)美3人物雖然多 卻沒有奧創那部那麼糟糕雷死人(一度想拍內心戲卻悶到爆..咿?這應該沒影射到DC某神片吧..旁邊真的傳來打呼聲的奇蹟片耶..)這次覺得角色的發揮與安排恰到好處(幻視、羅德、鷹眼比較有點變串場配角味)新角色蜘蛛人有了新的面貌，搞笑又搶眼阿(年青版改變一下原本死氣沉沉的版本阿)，黑豹貴公子的初登場也覺的塑造的成功女巫則是本片之本片我最正阿，希望未來不會真的演成跟幻視在一起(感覺好不搭喔~其實是忌妒~XD)這部動作場面用心設計外 (感覺拳拳到肉派跟特效派2種都有)其實劇情與內在也許多涵義在裡面美國隊長對政府的不信任也很影射現實生活(就像人民對政客的不信任與不認同感)鋼鐵人因愛情而選擇與政府妥協，因為親情會失去理智暴走狂打使徒?(外表再堅強的鋼鐵 內在卻比想像脆弱萬分阿 這才是人性) 隊長因為友情就算不顧性命也要力挺到底(其實個人這部片特別認同隊長的思維跟立場!!正義與熱血的代表阿~~)而最終隱藏的大魔王 其實也是由陽光進入黑暗面的受害者(活著只能為復仇而生 其實也是很悲劇的反派)  最厲害的是 他靠的不是武力與超能力而是費盡心機連環計，來考驗人性，使英雄不攻也會自破...動作場面超讚 前半部節奏感相當棒，實打的動作部分，捍衛任務的動作指導跟攝影鏡頭拿捏得很棒 黑寡婦跟巴基根本動作明星阿!後面機場那段雖然特效過多 螞蟻桑放大時很鹹蛋超人特攝的感覺很微妙，他跟蜘蛛人在這段戲份也相當重，並更增加這段運鏡豐富度與趣味阿!!最終殘暴打集篇，看到東尼的暴走與宣洩，最後竟然還會很幼稚的飆氣話凹盾牌，這真得很真實的描述人性阿!!相比下 美國隊長真的成熟得多 不論處理事情或對隊友、朋友等 都更貼近一個你會很想跟他當朋友的那種人格特質阿~~(成熟穩重又帥呆..還很會照顧人XD)最終也是他緊張隊友而去拯救，(女巫自小被關起來，感覺得出有幽閉恐懼症，隊長其實也很在意關切到了)最後那封親筆信相信應該也打動了東尼，期待明年復3大集合與雷神、綠大大會合後，可以跟上美3的水準與內涵阿!!別再延續奧創的擺爛阿~~相當建議還沒看的朋友趕緊去看，看過的朋友可以展開回鍋看把沒注意到的細節再品味一下囉~,5,美國隊長3：英雄內戰,      Captain America: Civil War
"廢話不多說，就是超級好看！
我的朋友沒看前面的威漫系列電影，她看了也說很好看！而且都看得懂！
這部電影可以納入我的人生中  經典大片之一了!!!!!
要記得有2個彩蛋唷！大家都看完第一個就走了........",5,美國隊長3：英雄內戰,      Captain America: Civil War
