週次,日期,週末票房總和,漲跌幅,冠軍片名,英文片名,週末票房冠軍,冠軍比例*
31,08/05 - 06,"29,901,738",+13.3%,模犯生,Bad Genius,"5,562,901",18.60%
30,07/29 - 30,"26,392,639",-28.2%,敦克爾克大行動,Dunkirk,"6,008,394",22.77%
29,07/22 - 23,"36,766,707",-11.5%,敦克爾克大行動,Dunkirk,"11,143,938",30.31%
28,07/15 - 16,"41,532,307",-1.7%,猩球崛起：終極決戰,War for the Planet of the Apes,"13,670,006",32.91%
27,07/08 - 09,"42,249,157",+26.7%,蜘蛛人：返校日,Spider-Man: Homecoming,"25,573,718",60.53%
26,07/01 - 02,"33,342,350",+1.7%,神偷奶爸3,Despicable Me 3,"13,361,083",40.07%
25,06/24 - 25,"32,798,987",+7.1%,變形金剛5：最終騎士,Transformers: The Last Knight,"18,392,933",56.08%
24,06/17 - 18,"30,627,483",-35.8%,神鬼傳奇,The Mummy,"11,822,715",38.60%
23,06/10 - 11,"47,690,608",+16.1%,神鬼傳奇,The Mummy,"25,342,873",53.14%
22,06/03 - 04,"41,065,920",+2.0%,神力女超人,Wonder Woman,"22,552,902",54.92%
21,05/27 - 28,"40,249,069",+72.1%,加勒比海盜 神鬼奇航：死無對證,Pirates of the Caribbean: Dead Men Tell No Tales,"19,807,313",49.21%
20,05/20 - 21,"23,391,591",-12.5%,異形：聖約,Alien: Covenant,"4,426,175",18.92%
19,05/13 - 14,"26,723,984",+2.1%,異形：聖約,Alien: Covenant,"7,948,394",29.74%
18,05/06 - 07,"26,164,753",-33.3%,星際異攻隊2,Guardians of the Galaxy Vol. 2,"6,389,709",24.42%
17,04/29 - 30,"39,251,412",-13.0%,星際異攻隊2,Guardians of the Galaxy Vol. 2,"14,394,979",36.67%
16,04/22 - 23,"45,129,299",-21.0%,玩命關頭8,Fast & Furious 8,"25,495,070",56.49%
15,04/15 - 16,"57,119,679",+101.8%,玩命關頭8,Fast & Furious 8,"43,723,394",76.55%
14,04/08 - 09,"28,305,387",-27.3%,我和我的冠軍女兒,Dangal,"5,320,460",18.80%
13,04/01 - 02,"38,910,589",-1.3%,攻殼機動隊,Ghost in the Shell,"9,109,929",23.41%
12,03/25 - 26,"39,433,059",-3.9%,美女與野獸,Beauty and the Beast,"13,716,273",34.78%
11,03/18 - 19,"41,042,742",-3.3%,美女與野獸,Beauty and the Beast,"18,479,670",45.03%
10,03/11 - 12,"42,432,794",+22.1%,金剛：骷髏島,Kong: Skull Island,"22,498,616",53.02%
9,03/04 - 05,"34,742,444",+0.2%,羅根,Logan,"19,151,017",55.12%
8,02/25 - 26,"34,686,509",+22.6%,為了與你相遇,A Dog's Purpose,"6,496,370",18.73%
7,02/18 - 19,"28,289,101",-24.3%,分裂,Split,"5,254,230",18.57%
6,02/11 - 12,"37,347,272",+0.0%,分裂,Split,"7,854,274",21.03%
5,02/04 - 05,"37,341,953",-11.9%,分裂,Split,"12,126,104",32.47%
4,01/28 - 29,"42,383,866",+65.6%,惡靈古堡：最終章,Resident Evil: The Final Chapter,"14,190,341",33.48%
3,01/21 - 22,"25,592,268",+5.7%,限制級戰警：重返極限,xXx: Return of Xander Cage,"12,422,855",48.54%
2,01/14 - 15,"24,201,453",-0.6%,樂來越愛你,La La Land,"3,633,570",15.01%
1,01/07 - 08,"24,340,462",-46.5%,長城,The Great Wall,"4,877,021",20.04%
